JobTitle	BasePay	OvertimePay	OtherPay	Benefits	TotalPay	TotalPayBenefits	Year	Status
Deputy Chief 3	16381	3	44356	72884	471952.64	510732.68	2014	PT
Asst Med Examiner	39552	1892	65066	97110	390111.98	479652.21	2014	FT
Chief Investment Officer	35069	3	76818	98210	339653.7	436224.36	2014	PT
Chief of Police	38699	3	26166	97416	326716.76	418019.22	2014	FT
Asst Med Examiner	36012	51815	69604	94200	344187.46	415767.94	2014	FT
Executive Contract Employee	38913	3	7	96998	310161.02	398984.53	2014	FT
Asst Chf of Dept (Fire Dept)	29979	65602	39980	92775	329390.54	393990.13	2014	FT
Senior Physician Specialist	29648	3	4710	92416	311650.36	374597.99	2014	FT
Commander 3	27993	3	12233	88192	322143.1	374083.49	2014	PT
Dep Chf of Dept (Fire Dept)	35339	3	36770	96115	287489.84	370464.42	2014	FT
Battalion Chief, Fire Suppress	27007	63809	46673	91456	306117.53	365782.44	2014	FT
Dep Chf of Dept (Fire Dept)	35338	3	32262	95914	283661.73	365548.28	2014	FT
Mayor	36899	3	7	96197	281537.17	364814.51	2014	FT
Deputy Chief 3	35902	3	65973	95705	274824.1	355299.86	2014	FT
Asst Chf of Dept (Fire Dept)	30629	33440	57423	92769	289247.63	353797.13	2014	FT
Deputy Chief 3	35719	3	65599	95303	271863.53	350310.93	2014	FT
Dept Head V	35862	3	7	95688	267914.01	348275.23	2014	FT
Controller	35861	3	7	95510	267914	347713.88	2014	FT
Asst Chf of Dept (Fire Dept)	30629	38663	40958	93157	276317.84	342814.32	2014	FT
Battalion Chief, Fire Suppress	27005	53005	48872	92208	279764.49	341838.55	2014	FT
Battalion Chief, Fire Suppress	27297	56698	36009	91492	276823.46	336639.24	2014	FT
Dep Dir V	34865	3	7	95160	254578.48	332091.44	2014	FT
Battalion Chief, Fire Suppress	27296	53132	39268	91192	271490.89	330272.23	2014	FT
Manager, Dept Public Health	31942	3	47456	93553	258676.54	327201.58	2014	FT
Deputy Sheriff	105515	15324	27097	71230	287479.58	325718.15	2014	FT
Assistant Deputy Chief 2	32796	3	25853	94814	249505.88	324555.64	2014	FT
Battalion Chief, Fire Suppress	27297	48658	39425	91493	262497.35	322313.14	2014	FT
Anesthetist	32153	62975	28572	93737	252813.85	322196.12	2014	PT
Battalion Chief, Fire Suppress	27297	47364	39818	91816	260595.11	321216.69	2014	FT
Firefighter	7881	10365	25524	80792	276495.41	319494.22	2014	FT
Emergency Medical Svcs Chief	32798	3	12454	94646	244209.18	318297.51	2014	FT
Asst Chf of Dept (Fire Dept)	30629	30200	19527	92564	252487.83	316012.87	2014	FT
Anesthetist	33093	66060	83366	94025	244516.29	315220.12	2014	FT
Battalion Chief, Fire Suppress	27295	47308	34076	91387	255066.89	314390.21	2014	FT
